particle,kinetic_energy_mev,angle_deg,events,include_steel,geant4_version_number,nonzero_probability,mean_deposit_mev,std_deposit_mev,q0_deposit_mev,q0.1_deposit_mev,q0.25_deposit_mev,q0.5_deposit_mev,q0.75_deposit_mev,q0.9_deposit_mev,q0.99_deposit_mev,q1_deposit_mev,p_ge_0.25mip,p_ge_0.5mip,p_ge_1mip,p_ge_2mip
e+,0.5,0.0,3000,True,1141,0.17466666666666666,0.03388646785375089,0.09018856183308063,0.0,0.0,0.0,0.0,0.0,0.15302742324331745,0.37512068774803753,0.6984722870249007,0.0,0.0,0.0,0.0
e+,0.5,20.0,3000,True,1141,0.18766666666666668,0.03761041221993841,0.09490667542332831,0.0,0.0,0.0,0.0,0.0,0.1858366034490637,0.382658973510585,0.8051139752289702,0.0,0.0,0.0,0.0
e+,0.5,40.0,3000,True,1141,0.12966666666666668,0.024604475081273808,0.07686341525813942,0.0,0.0,0.0,0.0,0.0,0.07500731377828729,0.34164700565080175,0.6307586693956225,0.0,0.0,0.0,0.0
e+,0.5,60.0,3000,True,1141,0.07933333333333334,0.015703540449064298,0.06294010333617492,0.0,0.0,0.0,0.0,0.0,0.0,0.33685348087182965,0.5082262149769414,0.0,0.0,0.0,0.0
e+,0.5,70.0,3000,True,1141,0.038,0.00802573872271327,0.04640482652406911,0.0,0.0,0.0,0.0,0.0,0.0,0.29494388603758426,0.43636872258750947,0.0,0.0,0.0,0.0
e+,1.0,0.0,3000,True,1141,0.24966666666666668,0.05029820696495623,0.11560908725892362,0.0,0.0,0.0,0.0,0.0,0.2465188439712947,0.4094645239791024,1.3544483856344325,0.0016666666666666668,0.0,0.0,0.0
e+,1.0,20.0,3000,True,1141,0.23,0.04693986256789875,0.10937951422627204,0.0,0.0,0.0,0.0,0.0,0.2309714415582148,0.3961570022869038,1.4142082112232193,0.0006666666666666666,0.0,0.0,0.0
e+,1.0,40.0,3000,True,1141,0.189,0.036764012705412304,0.09673121743618779,0.0,0.0,0.0,0.0,0.0,0.1629629335289477,0.4002335846987838,1.1662363209345412,0.0003333333333333333,0.0,0.0,0.0
e+,1.0,60.0,3000,True,1141,0.10566666666666667,0.02005163521326807,0.07120223829868287,0.0,0.0,0.0,0.0,0.0,0.013983327636163397,0.3489868182061783,0.6530646055148813,0.0,0.0,0.0,0.0
e+,1.0,70.0,3000,True,1141,0.057666666666666665,0.011972300346180508,0.05925362653948165,0.0,0.0,0.0,0.0,0.0,0.0,0.3269853088428938,1.1091363993855992,0.0003333333333333333,0.0,0.0,0.0
e+,3.0,0.0,3000,True,1141,0.6223333333333333,0.7116687338516086,0.7855403492022546,0.0,0.0,0.0,0.2925444645607347,1.5204542966025503,1.8850712634380664,2.2613989844005182,2.711994104209908,0.39066666666666666,0.14366666666666666,0.0,0.0
e+,3.0,20.0,3000,True,1141,0.6053333333333333,0.6928138569664832,0.7802226097810728,0.0,0.0,0.0,0.26274770104704626,1.467120609319363,1.8638127009357564,2.2612241931638914,2.6431200399130494,0.3893333333333333,0.136,0.0,0.0
e+,3.0,40.0,3000,True,1141,0.49766666666666665,0.4973530478146598,0.7017230835195509,0.0,0.0,0.0,0.0,1.0496958461447339,1.7211008823440705,2.1538635540603313,2.6920723104673394,0.276,0.07933333333333334,0.0,0.0
e+,3.0,60.0,3000,True,1141,0.3383333333333333,0.2683008425010631,0.5307894101696131,0.0,0.0,0.0,0.0,0.21777306728732393,1.2642007787706273,1.976276653053808,2.524503854145294,0.144,0.025333333333333333,0.0,0.0
e+,3.0,70.0,3000,True,1141,0.20066666666666666,0.1478095501663711,0.40693621217009873,0.0,0.0,0.0,0.0,0.0,0.5622288566205466,1.8600974472145249,3.2022773085699314,0.07833333333333334,0.012666666666666666,0.0,0.0
e+,10.0,0.0,3000,True,1141,0.971,4.771302975112882,1.9168738132564422,0.0,3.2944342657794463,3.703573671500875,4.323579042708289,5.916338674065995,7.647708122951501,9.085384322541138,9.678118674404667,0.9586666666666667,0.946,0.8106666666666666,0.13366666666666666
e+,10.0,20.0,3000,True,1141,0.9666666666666667,4.973735128104505,2.042206793291864,0.0,3.2669716622890235,3.8247256973766635,4.59089797718296,6.2641333576304605,8.064855771145151,9.041270816292176,9.485647247335868,0.9523333333333334,0.9373333333333334,0.8353333333333334,0.17033333333333334
e+,10.0,40.0,3000,True,1141,0.9503333333333334,5.363583136991141,2.316512770018041,0.0,2.0594091753813966,4.074550794485597,5.421125479626532,7.281925239881241,8.314536191230124,8.891123718381925,9.372412549455758,0.9286666666666666,0.9086666666666666,0.8346666666666667,0.2643333333333333
